song_key,title,artist,duration,current_bitrate,file_name,priority
2night藏爱|陶喆|231,2Night藏爱,陶喆,231.47,320000,陶喆-2Night.mp3,🔴 高优先级
a.i.n.y.|g.e.m.邓紫棋|237,A.I.N.Y.,G.E.M.邓紫棋,237.19,128000,G.E.M.邓紫棋 - A.I.N.Y..mp3,🔴 高优先级
endless tears|cliff edge、中村舞子 (dj kaori remix) [bonus track]|276,Endless Tears,CLIFF EDGE、中村舞子 (DJ KAORI Remix) [Bonus Track],275.54,128000,CLIFF EDGE、中村舞子 (DJ KAORI Remix) [Bonus Track] - Endless Tears.mp3,🔴 高优先级
flow|方大同/王力宏|231,Flow,方大同/王力宏,231.32,320000,方大同王力宏-Flow.mp3,🔴 高优先级
only my railgun|machico|255,only my railgun,Machico,254.96,320000,Machico - only my railgun.mp3,🔴 高优先级
talking to the moon|bruno mars|208,Talking to the Moon,Bruno Mars,207.65,128000,Bruno Mars - Talking to the Moon.mp3,🔴 高优先级
terror|まふまふ|237,Terror,まふまふ,236.8,320000,まふまふ - Terror.mp3,🔴 高优先级
trouble maker（中文填词版）（翻自 金泫雅/张贤胜）|洛少爷/封茗囧菌|222,Trouble Maker（中文填词版）（翻自 金泫雅/张贤胜）,洛少爷/封茗囧菌,221.68,320000,洛少爷、封茗囧菌 - Trouble Maker（中文填词版）（翻自 金泫雅张贤胜）.mp3,🔴 高优先级
wave|ギガp|196,WAVE,ギガP,196.26,320000,ギガP - WAVE.mp3,🔴 高优先级
yellow|sawako碎花|181,YELLOW,Sawako碎花,181.11,320000,Sawako碎花 - YELLOW.mp3,🔴 高优先级
ふたりごと|茶泡饭、kobasolo、春茶|247,ふたりごと,茶泡饭、kobasolo、春茶,247.17,320000,茶泡饭、kobasolo、春茶 - ふたりごと.mp3,🔴 高优先级
アスノヨゾラ哨戒班|いすぼくろ|176,アスノヨゾラ哨戒班,いすぼくろ,175.88,320000,いすぼくろ - アスノヨゾラ哨戒班.mp3,🔴 高优先级
アスノヨゾラ哨戒班。明日的夜空哨戒班（cover ia）|akie秋绘、夏璃夜|235,アスノヨゾラ哨戒班。明日的夜空哨戒班（Cover IA）,Akie秋绘、夏璃夜,235.08,320000,Akie秋绘、夏璃夜 - アスノヨゾラ哨戒班。明日的夜空哨戒班（Cover IA）.mp3,🔴 高优先级
